hidden_size,optimizer,learning_rate,weight_decay,init_range_start,init_range_end,testing_loss_prob,testing_loss_durr,testing_accuracy,number
256,SGD,0.0001,0,-0.5,0.5,6.0603486604806855,42.5286826157755,0.016260162601626018,33
256,SGD,0.1,1,-0.5,0.5,6.683190410699302,48.27642276422764,0.024390243902439025,24
512,SGD,1e-05,1,-0.5,0.5,2.920002203646714,147.19599472488488,0.032520325203252036,100
512,SGD,1e-05,0.01,0,1,3.3956583626871186,39.6260162601626,0.06504065040650407,119
512,SGD,0.0001,0.1,-1,1,4.156330996897163,40.27494283776534,0.08943089430894309,74
512,SGD,1e-05,1,0,1,5.763358212098843,155.39961332664257,0.024390243902439025,120
256,SGD,0.001,0.01,-0.5,0.5,3.812262225926407,517.2337799218133,0.032520325203252036,31
512,SGD,0.001,0.01,-1,1,5.902630000095058,123.00634257192534,0.04878048780487805,71
1024,SGD,0.001,0.1,0,1,4.24554366018714,308.9186991869919,0.0,170
512,SGD,0.0001,1,-0.5,0.5,4.321616248871253,62.64130451149313,0.024390243902439025,96
256,SGD,0.001,0,0,1,3.6801281508391464,34.572750610253976,0.0,49
1024,SGD,0.01,0.1,-1,1,4.088871564806961,42.17886178861789,0.04878048780487805,126
512,SGD,0.0001,0,0,1,3.3076116122850556,268.7993709363528,0.0,113
256,SGD,0.001,0.01,-1,1,3.471153699285616,39.193754531392244,0.04878048780487805,11
256,SGD,1e-05,0,0,1,3.523232945581762,88.98174094378463,0.06504065040650407,57
1024,SGD,0.1,0.01,-1,1,5.936882060717761,121.76422764227642,0.08943089430894309,123
1024,SGD,0.0001,1,0,1,3.3210164938515763,399.08946091712005,0.0,176
512,SGD,1e-05,0.1,-1,1,3.4642074263192772,141.89540830870516,0.13008130081300814,78
512,SGD,0.1,0,-0.5,0.5,3.9211202428592897,44.3089430894309,0.008130081300813009,81
256,SGD,0.01,0.01,-0.5,0.5,3.531763731464138,39.73170731707317,0.06504065040650407,27
1024,SGD,0.1,0.1,-1,1,3.4299550148529736,315.1951219512195,0.0,122
