hidden_size,density,leakage_rate,spectral_radius,testing_loss_prob,testing_loss_durr,testing_accuracy,number
256,1,0.001,0.5,5.1184266868645585,24.935938537522713,0.2032520325203252,324
512,0.9,0.01,0.5,3.045251651992643,183.15447154471545,0.0,946
512,1,0.9,1.5,3.4987986218638536,48.12885907922334,0.016260162601626018,601
1024,0.5,0.1,,3.7163076647898046,49.02193326206975,0.024390243902439025,1723
1024,0.5,0.001,0.9,6.370162783599481,129.89430894308944,0.056910569105691054,1432
1024,0.1,0.01,0.9,3.1314799974604353,52.875689568856494,0.032520325203252036,1458
512,1,0.9,1.5,4.57747522311482,23.7460230070401,0.008130081300813009,602
256,0.01,0.001,0.9,3.091072116440874,20.515903258925242,0.22764227642276422,295
256,0.9,0.1,0.5,4.081149090596331,122.03252032520325,0.17073170731707318,344
1024,1,0.001,0.9,3.1446320647146644,112.2788386682145,0.35772357723577236,1375
1024,0.1,0,0.9,3.394508142296861,22.923719872906048,0.2764227642276423,1470
512,1,0.5,1.5,3.824692724681482,41.06354435042637,0.0,606
1024,0.01,0.5,1.5,3.0180790792635785,49.796747967479675,0.1951219512195122,1330
1024,1,0.9,,5.8419911405904505,275.56847377557534,0.14634146341463414,1653
512,0.9,0.9,1.5,4.499180419658257,46.27600301272705,0.024390243902439025,635
256,0.01,0.1,0.5,2.8295537155818162,23.271296629712943,0.15447154471544716,435
1024,0.1,0.001,1.5,3.199879821238479,296.2721239211202,0.23577235772357724,1314
512,0.1,0.9,1.5,3.63253752681298,138.42139724192373,0.016260162601626018,695
256,0.5,0.1,0.5,3.605327693427481,25.024406607604345,0.1951219512195122,375
256,0.1,0.1,0.5,3.752003713836515,187.47967479674796,0.016260162601626018,403
1024,0.9,0.5,0.5,3.772245491423258,143.78083223746538,0.1951219512195122,1540
1024,0.5,0.1,0.5,3.466862024815102,52.242117988384834,0.0,1572
512,1,0.5,1.5,6.065537757020656,103.1765933018632,0.16260162601626016,610
512,0.01,0.9,,3.8289068801616266,38.16036053498586,0.04065040650406504,1173
256,0.9,0.01,1.5,3.648064037648643,270.80042220488616,0.008130081300813009,46
512,0.01,0,0.5,3.1455701226141395,98.58886533406208,0.23577235772357724,1050
512,0.1,0.9,1.5,3.304668144481938,392.84636527863455,0.008130081300813009,694
256,0.1,0,,3.6537011445053227,308.71066477559924,0.024390243902439025,566
1024,0.1,0.001,1.5,3.2143993159619773,20.800346278805073,0.0,1312
512,0.5,0.01,1.5,3.2555375540159583,25.718040045683946,0.008130081300813009,676
1024,0.1,0.001,0.9,3.7792246908676335,126.31783784695757,0.0,1461
512,0.5,0.001,0.5,3.1144915751325404,139.91600844869342,0.2764227642276423,985
512,0.01,0,1.5,3.4379908379500472,50.791773421357185,0.2926829268292683,750
1024,0.9,0.5,0.5,3.659229146271217,136.96424258709317,0.008130081300813009,1538
256,0.1,0.1,,3.1487511023273314,354.02190179208185,0.07317073170731707,553
256,0.5,0,0.5,2.9210028769524117,17.578963565915835,0.18699186991869918,389
1024,0.01,0.9,0.5,5.826886265743069,342.80754371824895,0.06504065040650407,1625
256,0.9,0.001,,3.238135045621453,61.46608840909311,0.008130081300813009,502
256,1,0.5,0.9,3.957937517301823,300.59497044795773,0.0,157
256,0.1,0.5,,4.040386962212198,49.271843796198176,0.17886178861788618,550
256,0.5,0.1,,3.2796845140495923,77.60471741370418,0.056910569105691054,521
256,1,0.9,0.5,3.887563196139607,282.8937501027236,0.04065040650406504,304
1024,1,0.01,1.5,3.7484802841171017,71.29268292682927,0.3008130081300813,1219
1024,0.5,0.001,0.5,4.088028926674912,25.640868085665005,0.016260162601626018,1583
512,1,0.1,0.9,3.4110343509573275,139.93007362315743,0.25203252032520324,764
256,0.9,0.5,0.9,3.440702018699026,47.19497299166321,0.016260162601626018,188
1024,0.1,0,0.5,3.5595775910509313,81.55198265460312,0.016260162601626018,1618
256,0.1,0.1,0.5,3.355059257367762,86.83800769009726,0.0,402
256,0.01,0,,2.796932794214264,93.678718589428,0.0,596
512,0.5,0.9,1.5,3.6815663086689585,88.72414876519876,0.032520325203252036,665
