hidden_size,batch_size,optimizer,learning_rate,weight_decay,init_range_start,init_range_end,testing_loss_prob,testing_loss_durr,testing_accuracy,number
256,1,SGD,0.0001,0,-0.5,0.5,3.3690051410649273,21.84547572862773,0.043243243243243246,40
128,1,SGD,0.1,0,-0.5,0.5,3.5101394147486302,16.86445596653062,0.0,1
2048,1,SGD,0.001,0,0,1,3.4593304476222477,262.0324324324324,0.0,129
256,1,Adam,0.001,0,-0.5,0.5,2.8758036887323533,168.07533413953774,0.6108108108108108,52
256,1,Adam,1e-05,0,0,1,3.6017627406764676,81.84271345557393,0.0,60
1024,1,SGD,0.0001,0,0,1,3.3370520160004897,65.95206759072639,0.0,102
512,1,SGD,0.001,0,-0.5,0.5,3.6031055163692782,24.825463486949022,0.12972972972972974,67
1024,1,SGD,0.0001,0,-0.5,0.5,4.796168183636021,25.5826846821435,0.07567567567567568,100
128,1,SGD,0.0001,0,0,1,3.3725897305720562,44.20143588258817,0.0,12
512,1,SGD,0.1,0,0,1,4.6934886159123606,276.9945945945946,0.005405405405405406,63
128,1,Adam,0.1,0,-1,1,5.11172359762965,91.29750448008495,0.07567567567567568,17
2048,1,SGD,0.001,0,-1,1,2.793722187183999,9.407007315212981,0.5621621621621622,128
512,1,Adam,1e-05,0,-0.5,0.5,3.069306526635144,130.1474053209745,0.1837837837837838,88
2048,1,Adam,0.001,0,-0.5,0.5,5.167435146989049,11.6010035588255,0.07027027027027027,142
128,1,Adam,0.1,0,0,1,4.097671344151368,150.96080948919862,0.05405405405405406,18
1024,1,SGD,0.01,0,-1,1,3.028284834848868,32.08154405829826,0.7891891891891892,95
256,1,Adam,0.0001,0,0,1,3.918921392028396,135.77297297297298,0.0,57
128,1,Adam,0.001,0,-1,1,2.6308708339124114,37.99753324826047,0.32972972972972975,23
2048,1,Adam,0.01,0,-1,1,4.732952059281839,10.248835647153332,0.12432432432432433,140
4096,1,SGD,1e-05,0,0,1,4.117580912564252,106.08108108108108,0.0,165
256,1,Adam,0.01,0,-1,1,5.548492580491144,137.57830646538014,0.07567567567567568,50
1024,1,Adam,0.1,0,0,1,5.093683810814007,238.0,0.12432432432432433,108
2048,1,SGD,0.01,0,-0.5,0.5,2.716237071398142,9.08189310433848,0.005405405405405406,124
256,1,SGD,0.0001,0,0,1,3.812133665986963,45.8054054054054,0.0,42
1024,1,Adam,0.1,0,-1,1,3.529082460339005,78.79869017974879,0.005405405405405406,107
128,1,Adam,1e-05,0,-0.5,0.5,3.730969513751365,220.71205691626702,0.03783783783783784,28
256,1,Adam,0.0001,0,-1,1,3.3044590598828085,203.23973347134125,0.34594594594594597,56
256,1,SGD,0.01,0,-0.5,0.5,4.290353357147526,151.17152112370917,0.32972972972972975,34
4096,1,Adam,1e-05,0,0,1,3.6018848370861365,143.75675675675674,0.0,180
2048,1,Adam,0.1,0,-1,1,5.0193114641550425,7.367033308863992,0.1945945945945946,137
128,1,Adam,0.01,0,-0.5,0.5,3.436866053375038,33.7164044225939,0.05405405405405406,19
4096,1,SGD,0.01,0,0,1,4.024572492934562,149.7783783783784,0.0,156
256,1,Adam,0.0001,0,-0.5,0.5,2.8511973310161283,31.430032571410678,0.2648648648648649,55
2048,1,Adam,0.0001,0,-0.5,0.5,2.749915740296647,11.414107719094986,0.827027027027027,145
1024,1,SGD,0.1,0,0,1,3.8627098060942986,73.08648648648649,0.0,93
2048,1,Adam,0.01,0,0,1,5.0339405514098505,136.64324324324323,0.05405405405405406,141
4096,1,Adam,0.0001,0,0,1,4.222391695267445,75.4,0.08648648648648649,177
256,1,Adam,0.1,0,-1,1,3.5527120297019548,35.82726384230378,0.03783783783783784,47
128,1,SGD,0.0001,0,-1,1,3.8506971149831206,99.26999248251684,0.04864864864864865,11
2048,1,Adam,0.0001,0,-1,1,3.8565000314970272,4.315727458206016,0.8486486486486486,146
128,1,SGD,0.01,0,0,1,3.473244985696432,22.740346519044927,0.0,6
1024,1,SGD,0.1,0,-1,1,3.4397889018058776,82.34991603758552,0.010810810810810811,92
128,1,SGD,0.0001,0,-0.5,0.5,3.6801360890672012,280.7486690181194,0.02702702702702703,10
4096,1,Adam,0.1,0,-1,1,4.693894519677033,8.254979463211576,0.0918918918918919,167
1024,1,Adam,0.1,0,-0.5,0.5,3.8600938146178785,35.99112814266402,0.15675675675675677,106
4096,1,Adam,0.0001,0,-1,1,2.619985900376294,6.836892895230817,0.7189189189189189,176
128,1,Adam,0.0001,0,-1,1,3.013575608665879,91.92971507915975,0.0918918918918919,26
128,1,Adam,0.001,0,-0.5,0.5,4.080236015770886,21.25168413765771,0.32972972972972975,22
256,1,SGD,0.0001,0,-1,1,3.596517029001906,19.759279121456643,0.02702702702702703,41
512,1,Adam,1e-05,0,-1,1,4.839953518558193,26.98087739378027,0.16756756756756758,89
256,1,SGD,1e-05,0,-0.5,0.5,4.884135731490883,101.5719318573459,0.032432432432432434,43
512,1,Adam,0.1,0,0,1,5.379658064326724,58.545945945945945,0.043243243243243246,78
1024,1,Adam,1e-05,0,-0.5,0.5,3.1022156625180632,60.17334027537554,0.40540540540540543,118
512,1,SGD,0.01,0,0,1,5.218791257368552,140.84324324324325,0.005405405405405406,66
128,1,SGD,0.1,0,0,1,3.6343947578120877,22.58683232165672,0.0,3
4096,1,Adam,1e-05,0,-1,1,3.476213090806394,4.890584167286225,0.9135135135135135,179
2048,1,Adam,0.1,0,-0.5,0.5,4.023143913939193,9.09113800193908,0.021621621621621623,136
128,1,SGD,0.1,0,-1,1,2.9165361794265543,176.08334391554158,0.08648648648648649,2
4096,1,Adam,0.01,0,0,1,3.7200829950538843,66.17837837837838,0.06486486486486487,171
128,1,SGD,0.01,0,-0.5,0.5,4.103524571818275,30.719078368746448,0.1837837837837838,4
512,1,SGD,0.01,0,-1,1,3.5655271958660437,20.48877275578672,0.6756756756756757,65
256,1,Adam,0.01,0,0,1,3.5422314131582104,143.30810810810812,0.05945945945945946,51
128,1,Adam,0.0001,0,0,1,3.414503353995246,40.60893918657424,0.07027027027027027,27
512,1,Adam,0.0001,0,-0.5,0.5,2.6006166345364337,70.04382319930977,0.5513513513513514,85
256,1,SGD,0.01,0,0,1,3.4604782446010693,150.15135135135134,0.0,36
512,1,Adam,0.1,0,-1,1,5.273149675291938,60.89624910076897,0.010810810810810811,77
256,1,Adam,0.001,0,-1,1,2.954072885577743,64.1758443397237,0.5945945945945946,53
1024,1,Adam,0.0001,0,-0.5,0.5,2.686173262789443,54.81826210154159,0.745945945945946,115
512,1,Adam,0.01,0,0,1,3.3458006839494447,216.78598715733435,0.010810810810810811,81
2048,1,SGD,0.1,0,0,1,5.428916610898198,51.21081081081081,0.016216216216216217,123
128,1,Adam,0.1,0,-0.5,0.5,3.8281603033478198,109.90716716602722,0.05405405405405406,16
2048,1,SGD,0.01,0,0,1,4.904712064846142,52.2972972972973,0.005405405405405406,126
512,1,Adam,0.001,0,0,1,3.474841506416733,118.44864864864864,0.07567567567567568,84
1024,1,SGD,1e-05,0,0,1,3.642911224751859,140.31351351351353,0.0,105
1024,1,Adam,0.001,0,-0.5,0.5,4.52720855828878,93.99014975842265,0.35135135135135137,112
4096,1,Adam,0.001,0,0,1,3.5109638452529905,54.005405405405405,0.05405405405405406,174
512,1,SGD,0.001,0,0,1,3.655049862410571,116.56731138215274,0.0,69
512,1,SGD,0.01,0,-0.5,0.5,2.7445988384453024,18.99474706451434,0.5351351351351351,64
2048,1,SGD,0.0001,0,0,1,4.855827848975723,80.91891891891892,0.005405405405405406,132
1024,1,SGD,1e-05,0,-1,1,2.9220919644510426,80.42595165240628,0.043243243243243246,104
512,1,Adam,0.0001,0,0,1,3.195061954936466,123.6972972972973,0.0,87
256,1,SGD,0.1,0,-0.5,0.5,3.8811936104619824,153.77686903917206,0.010810810810810811,31
4096,1,SGD,0.01,0,-0.5,0.5,2.402773557160352,3.893017492649808,0.0,154
256,1,SGD,0.1,0,0,1,3.3933738373421334,26.833877856989165,0.0,33
512,1,Adam,0.001,0,-0.5,0.5,2.7975849844313956,118.08823854785815,0.5135135135135135,82
128,1,SGD,1e-05,0,-1,1,3.475490929951539,23.44926181126596,0.032432432432432434,14
512,1,Adam,0.01,0,-0.5,0.5,3.818294962032421,117.31050829915581,0.0972972972972973,79
128,1,Adam,1e-05,0,0,1,3.6617272489779706,125.4431478377935,0.0,30
4096,1,Adam,0.01,0,-1,1,3.5441991947792673,8.322037815230244,0.032432432432432434,170
2048,1,SGD,0.0001,0,-1,1,3.57216357765971,5.49475456924505,0.15675675675675677,131
